,gross_pnl,costs,net_pnl
2024-05-24,0.0,0.0,0.0
2024-05-27,0.0,0.0,0.0
2024-05-28,0.0,0.0,0.0
2024-05-29,0.0,0.0,0.0
2024-05-30,0.0,0.0,0.0
2024-05-31,0.0,0.0,0.0
2024-06-03,0.0,0.0,0.0
2024-06-04,0.0,0.0,0.0
2024-06-05,0.0,0.0,0.0
2024-06-06,0.0,0.0,0.0
2024-06-07,0.0,0.0,0.0
2024-06-10,0.0,0.0,0.0
2024-06-11,0.0,0.0,0.0
2024-06-12,0.0,0.0,0.0
2024-06-13,0.0,0.0,0.0
2024-06-14,0.0,0.0,0.0
2024-06-17,0.0,0.0,0.0
2024-06-18,0.0,0.0,0.0
2024-06-19,0.0,0.0,0.0
2024-06-20,0.0,0.0,0.0
2024-06-21,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.0
2024-06-25,0.0,0.0,0.0
2024-06-26,0.0,0.0,0.0
2024-06-27,0.0,0.0,0.0
2024-06-28,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0
2024-07-02,0.0,0.0,0.0
2024-07-03,0.0,0.0,0.0
2024-07-04,0.0,0.0,0.0
2024-07-05,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0
2024-07-09,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0
2024-07-11,0.0,0.0,0.0
2024-07-12,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0
2024-07-17,0.0,0.0,0.0
2024-07-18,0.0,0.0,0.0
2024-07-19,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0
2024-07-23,0.0,0.0,0.0
2024-07-24,0.0,0.0,0.0
2024-07-25,0.0,0.0,0.0
2024-07-26,0.0,0.0,0.0
2024-07-29,0.0,0.0,0.0
2024-07-30,0.0,0.0,0.0
2024-07-31,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0
2024-08-02,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0
2024-08-06,0.0,0.0,0.0
2024-08-07,0.0,0.0,0.0
2024-08-08,0.0,0.0,0.0
2024-08-09,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0
2024-08-13,0.0,0.0,0.0
2024-08-14,0.0,0.0,0.0
2024-08-15,0.0,0.0,0.0
2024-08-16,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.0
2024-08-20,0.0,0.0,0.0
2024-08-21,0.0,0.0,0.0
2024-08-22,0.0,0.0,0.0
2024-08-23,0.0,0.0,0.0
2024-08-26,0.0,0.0,0.0
2024-08-27,0.0,0.0,0.0
2024-08-28,0.0,0.0,0.0
2024-08-29,0.0,0.0,0.0
2024-08-30,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0
2024-09-03,0.0,0.0,0.0
2024-09-04,0.0,0.0,0.0
2024-09-05,0.0,0.0,0.0
2024-09-06,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0
2024-09-10,0.0,0.0,0.0
2024-09-11,0.0,0.0,0.0
2024-09-12,0.0,0.0,0.0
2024-09-13,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0
2024-09-17,0.0,0.0,0.0
2024-09-18,0.0,0.0,0.0
2024-09-19,0.0,0.0,0.0
2024-09-20,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0
2024-09-24,0.0,0.0,0.0
2024-09-25,0.0,0.0,0.0
2024-09-26,0.0,0.0,0.0
2024-09-27,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0
2024-10-02,0.0,0.0,0.0
2024-10-03,0.0,0.0,0.0
2024-10-04,0.0,0.0,0.0
2024-10-07,0.0,0.0,0.0
2024-10-08,0.0,0.0,0.0
2024-10-09,0.0,0.0,0.0
2024-10-10,0.0,0.0,0.0
2024-10-11,0.0,0.0,0.0
2024-10-14,0.0,0.0,0.0
2024-10-15,0.0,0.0,0.0
2024-10-16,0.0,0.0,0.0
2024-10-17,0.0,0.0,0.0
2024-10-18,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0
2024-10-22,0.0,0.0,0.0
2024-10-23,0.0,0.0,0.0
2024-10-24,0.0,0.0,0.0
2024-10-25,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0
2024-10-29,0.0,0.0,0.0
2024-10-30,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0
2024-11-04,0.0,0.0,0.0
2024-11-05,0.0,0.0,0.0
2024-11-06,0.0,0.0,0.0
2024-11-07,0.0,0.0,0.0
2024-11-08,0.0,0.0,0.0
2024-11-11,0.0,0.0,0.0
2024-11-12,0.0,0.0,0.0
2024-11-13,0.0,0.0,0.0
2024-11-14,0.0,0.0,0.0
2024-11-15,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0
2024-11-19,0.0,0.0,0.0
2024-11-20,0.0,0.0,0.0
2024-11-21,0.0,0.0,0.0
2024-11-22,0.0,0.0,0.0
2024-11-25,0.0,0.0,0.0
2024-11-26,0.0,0.0,0.0
2024-11-27,0.0,0.0,0.0
2024-11-28,0.0,0.0,0.0
2024-11-29,0.0,0.0,0.0
2024-12-02,0.0,0.0,0.0
2024-12-03,0.0,0.0,0.0
2024-12-04,0.0,0.0,0.0
2024-12-05,0.0,0.0,0.0
2024-12-06,0.0,0.0,0.0
2024-12-09,0.0,0.0,0.0
2024-12-10,0.0,0.0,0.0
2024-12-11,0.0,0.0,0.0
2024-12-12,0.0,0.0,0.0
2024-12-13,0.0,0.0,0.0
2024-12-16,0.0,0.0,0.0
2024-12-17,0.0,0.0,0.0
2024-12-18,0.0,0.0,0.0
2024-12-19,0.0,0.0,0.0
2024-12-20,0.0,0.0,0.0
2024-12-23,0.0,0.0,0.0
2024-12-24,0.0,0.0,0.0
2024-12-25,0.0,0.0,0.0
2024-12-26,0.0,0.0,0.0
2024-12-27,0.0,0.0,0.0
2024-12-30,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0
2025-01-01,0.0,0.0003501743805482001,-0.0003501743805482001
2025-01-02,-0.0020673912725221954,0.0006303167070080939,-0.002697707979530289
2025-01-03,-0.0003773825069258018,0.0006148464066852201,-0.0009922289136110219
2025-01-06,-0.0017671600451381686,0.0006335340190330422,-0.002400694064171211
2025-01-07,0.00012959949565409404,0.0006205888983999431,-0.0004909894027458491
2025-01-08,-3.2508434413276396e-05,0.0006505914965854529,-0.0006830999309987293
2025-01-09,-0.0007750673888905341,0.0006128171219327843,-0.0013878845108233184
2025-01-10,0.0018372543735369897,0.0005998585888604259,0.0012373957846765638
2025-01-13,-0.002914250586304361,0.0006721347518787893,-0.0035863853381831504
2025-01-14,0.0007474137013071852,0.0005359842196708973,0.00021142948163628788
2025-01-15,0.0006209188920948282,0.0005439969421906554,7.692194990417277e-05
2025-01-16,-0.00526595797394032,0.0006505695543702689,-0.005916527528310588
2025-01-17,0.0007711100868211279,4.1642579277642515e-05,0.0007294675075434853
2025-01-20,0.0011700106594125044,6.100307659435673e-05,0.0011090075828181477
2025-01-21,-0.0023848178984326516,0.0006588530209798257,-0.003043670919412477
2025-01-22,0.0002366800989968453,0.0006459939365450502,-0.00040931383754820485
2025-01-23,0.0007114435850490466,6.541718956973023e-05,0.0006460263954793164
2025-01-24,-0.0003521533164871646,0.0006918139333968016,-0.0010439672498839662
2025-01-27,0.0011593146723594444,4.58642737585217e-06,0.0011547282449835923
2025-01-28,0.0011134084675131922,3.209074642929605e-05,0.0010813177210838962
2025-01-29,-0.0026729234497795853,0.0006904159251722263,-0.0033633393749518117
2025-01-30,-9.533702933655131e-05,4.032406608443732e-05,-0.00013566109542098863
2025-01-31,0.0002572153766866283,0.0006201834547061912,-0.00036296807801956284
2025-02-03,0.0010092199247543456,0.0005227649589039534,0.00048645496585039217
2025-02-04,-0.0007379451383232865,0.0005284860637492361,-0.0012664312020725225
2025-02-05,-0.001530323403459114,0.0006394339741697176,-0.0021697573776288314
2025-02-06,0.00131914713299713,0.0006274245406821337,0.0006917225923149962
2025-02-07,-0.0004917405914764055,0.0006271909539378335,-0.001118931545414239
2025-02-10,0.0018603595794441411,5.76533116247877e-06,0.0018545942482816624
2025-02-11,0.00044812970056103433,1.6050100369858743e-05,0.0004320796001911756
2025-02-12,-0.001125965588011036,0.00013555652638354092,-0.0012615221143945769
2025-02-13,-0.0019302777191445822,0.0005007586722074365,-0.0024310363913520186
2025-02-14,-0.0018589207087590463,2.4585829483895252e-05,-0.0018835065382429416
2025-02-17,-0.0007232907728368769,0.0006441836547027093,-0.0013674744275395862
2025-02-18,-0.0019505229607477254,0.0006291133261940138,-0.002579636286941739
2025-02-19,0.0010513688799594074,2.6079954633140955e-05,0.0010252889253262664
2025-02-20,0.0006843717166120227,0.0006762773519111616,8.09436470086103e-06
2025-02-21,-0.00014215076618911092,0.0006573129450396635,-0.0007994637112287744
2025-02-24,0.0002112591424132409,0.0006265139881674389,-0.000415254845754198
2025-02-25,-0.00019432465422551475,0.0006620892639844273,-0.0008564139182099421
2025-02-26,9.334836866862581e-05,0.0005737778033628119,-0.000480429434694186
2025-02-27,0.0007962170225784861,0.0001401235799797388,0.0006560934425987473
2025-02-28,0.0006066918979232634,6.207188050225425e-05,0.0005446200174210092
2025-03-03,-0.0009102671613401786,0.0006104959158983094,-0.001520763077238488
2025-03-04,-0.000774526722680938,2.5437805079880505e-05,-0.0007999645277608185
2025-03-05,-0.0009819555860999122,0.0006341032788015645,-0.0016160588649014767
2025-03-06,0.00023100374580612034,0.0006626583110390007,-0.0004316545652328803
2025-03-07,-0.001199169727045433,4.06012966082929e-06,-0.0012032298567062622
2025-03-10,-0.003020540407975866,0.0006802513217831871,-0.0037007917297590532
2025-03-11,0.001760036728583702,3.349130741775247e-05,0.0017265454211659495
2025-03-12,-0.00100891922617273,0.0006160258083181119,-0.0016249450344908416
2025-03-13,0.000906211852939477,4.047040739149772e-05,0.0008657414455479793
2025-03-14,-0.0015211953527389142,0.0006714525590700186,-0.002192647911808933
2025-03-17,-0.0003215538752399356,0.00061192033960457,-0.0009334742148445056
2025-03-18,0.000524143556041763,0.0006192251506670218,-9.508159462525876e-05
2025-03-19,0.0003861774793941955,2.184681767823743e-05,0.00036433066171595807
2025-03-20,-0.000587593185378663,0.0006597130853043278,-0.0012473062706829909
2025-03-21,0.0001585398395984952,2.1566919540341772e-05,0.0001369729200581534
2025-03-24,-0.0012071266386330772,0.0006310616486571063,-0.0018381882872901835
2025-03-25,0.00018252451202398768,2.180944037939519e-05,0.0001607150716445925
2025-03-26,-0.0016840720699032102,0.0006662544763021214,-0.0023503265462053316
2025-03-27,0.001140258644205749,1.3815330519147302e-05,0.0011264433136866016
2025-03-28,-0.002804106411565806,0.0006599803247633726,-0.0034640867363291785
2025-03-31,-0.0008250991354152907,5.543048647682986e-06,-0.0008306421840629737
2025-04-01,-0.0015624926464362578,0.0006438886133188684,-0.002206381259755126
2025-04-02,-0.00051169305607785,0.000629671993254652,-0.001141365049332502
2025-04-03,-0.00011838771637727664,2.3605061337024552e-05,-0.00014199277771430118
2025-04-04,-0.001509807598769666,0.0006606948416458674,-0.0021705024404155334
2025-04-07,0.0035255304037588764,2.077493870479769e-05,0.0035047554650540786
2025-04-08,0.0001858588777442562,8.867301299886415e-07,0.00018497214761426756
2025-04-09,0.00041296676662801505,2.2886922889771207e-05,0.00039007984373824387
2025-04-10,-0.0006881138146688176,0.0006543487891436361,-0.0013424626038124536
2025-04-11,0.00034093779404006485,0.0006927780418947336,-0.0003518402478546687
2025-04-14,0.000789763957079443,0.0005703023049332263,0.0002194616521462167
2025-04-15,-0.00031884018590094804,0.00013056682628040186,-0.00044940701218134987
2025-04-16,-0.0005258230255128847,2.778256562267414e-05,-0.0005536055911355588
2025-04-17,0.0009586119508355518,4.8689638070863894e-05,0.0009099223127646879
2025-04-18,0.0013640853201816652,0.0006955001523648982,0.000668585167816767
2025-04-21,-0.0016591415348829802,1.8623883962595004e-05,-0.001677765418845575
2025-04-22,-0.00017658975926474992,0.0006203090781824667,-0.0007968988374472166
2025-04-23,0.0006269040420743232,1.1619908826866903e-05,0.0006152841332474563
2025-04-24,-0.0001666469066294189,0.0005945324316901658,-0.0007611793383195847
2025-04-25,-0.002193980664256037,0.0005717831128041387,-0.002765763777060176
2025-04-28,0.00015989546491543684,2.970489192261079e-05,0.00013019057299282604
2025-04-29,-0.0007724500809318511,1.6682972260754193e-05,-0.0007891330531926053
2025-04-30,-0.0010610265214526606,2.240189372846501e-05,-0.0010834284151811256
2025-05-01,-0.00035773106415498105,3.7583587530895425e-06,-0.0003614894229080706
2025-05-02,6.709429658010983e-05,7.371350467099016e-05,-6.619208090880328e-06
2025-05-05,7.674117900521415e-05,5.987693867888145e-05,1.68642403263327e-05
2025-05-06,-0.002171163572633005,0.0006929843331574057,-0.0028641479057904106
2025-05-07,0.0029209053825507286,2.8256366653162033e-06,0.0029180797458854125
2025-05-08,0.0010254813230137943,0.000641966384904274,0.00038351493810952024
2025-05-09,0.0010993318948646687,2.7824392663521984e-05,0.0010715075022011467
2025-05-12,0.0004753016760339027,1.7635919089497427e-05,0.00045766575694440527
2025-05-13,-0.0008011063004288546,0.0006547476264126024,-0.0014558539268414569
2025-05-14,-5.321023769882193e-05,0.000655368980539141,-0.0007085792182379629
2025-05-15,0.001552989090253489,4.960220924556661e-05,0.0015033868810079224
2025-05-16,-0.00169467553228905,0.0006743562806192575,-0.0023690318129083072
2025-05-19,-0.001468487538967027,1.435298218773449e-05,-0.0014828405211547613
2025-05-20,-0.001435360744785729,3.5597143031844105e-05,-0.001470957887817573
2025-05-21,-0.0008366194885188415,2.794438580550591e-05,-0.0008645638743243475
2025-05-22,0.0006458992355409788,4.340632963712744e-05,0.0006024929059038513
2025-05-23,0.0003909356310653817,3.186002391421683e-05,0.0003590756071511649
2025-05-26,-0.0007457302559085615,0.0005646771464239598,-0.0013104074023325214
2025-05-27,-0.0024115207513471333,0.00018880503862639782,-0.002600325789973531
2025-05-28,-0.0003000599726134852,7.587002595942854e-05,-0.0003759299985729137
2025-05-29,0.0012760965491144568,4.470556560614485e-05,0.0012313909835083119
2025-05-30,-8.724634010170366e-06,2.4692239732379045e-06,-1.1193857983408271e-05
2025-06-02,-0.0010973558228068569,0.0006780881243930885,-0.0017754439471999455
2025-06-03,-0.0014360238527406364,3.5010233336497576e-05,-0.0014710340860771339
2025-06-04,0.0007195334460890919,0.0006442700123696029,7.526343371948904e-05
2025-06-05,-0.0015521409674340045,9.71418566672616e-07,-0.001553112386000677
2025-06-06,-0.0005513164669345493,1.4978244543070336e-05,-0.0005662947114776197
2025-06-09,-0.0011879194305905202,0.000675246242269071,-0.0018631656728595914
2025-06-10,-0.00017786753022770604,9.863171891588128e-06,-0.00018773070211929418
2025-06-11,-0.0016548288793738816,4.154844464509869e-05,-0.0016963773240189803
2025-06-12,-0.0005920084648426479,0.0006115639794944561,-0.001203572444337104
2025-06-13,-0.00012164658114143667,1.9754703954724083e-05,-0.00014140128509616075
2025-06-16,0.0014963683342647997,8.917293955765804e-06,0.001487451040309034
2025-06-17,0.0011673847498837216,0.0006081110173320532,0.0005592737325516684
2025-06-18,0.0014874421585815904,0.0006484907101049853,0.0008389514484766051
2025-06-19,-0.0016462514620803153,0.0006863028889991781,-0.0023325543510794933
2025-06-20,0.00022253187864125262,0.0006799304023959406,-0.000457398523754688
2025-06-23,-0.00025097181080878926,0.0006579160044499013,-0.0009088878152586906
2025-06-24,-0.0012657694640179227,4.3140035017873526e-05,-0.0013089094990357962
2025-06-25,-0.0005019775424514859,0.0006215629913638731,-0.001123540533815359
2025-06-26,0.001476084972698145,4.849580922345849e-05,0.0014275891634746866
2025-06-27,-0.0004914520516130656,0.0006144998990454029,-0.0011059519506584686
2025-06-30,-0.0015625324831492044,2.6893384547029953e-05,-0.0015894258676962343
2025-07-01,0.0010982965348831772,0.0001631950551240044,0.0009351014797591727
2025-07-02,0.00027455807210482845,0.00049523311912495,-0.00022067504702012156
2025-07-03,-0.001956709684117136,0.00013132659496330431,-0.0020880362790804403
2025-07-04,-0.000506459121439319,0.00013284627571620168,-0.0006393053971555207
2025-07-07,0.001129343504838098,1.29522814058777e-05,0.0011163912234322204
2025-07-08,0.0006259414921323464,0.00014057010631655784,0.0004853713858157885
2025-07-09,-0.0008614651238419463,0.0005175798414490475,-0.0013790449652909937
2025-07-10,0.00043537897131188915,4.144729305805202e-05,0.00039393167825383713
2025-07-11,0.00045935359410720025,0.0005550994330832473,-9.574583897604705e-05
2025-07-14,0.00036219280539423904,0.0001353541565766621,0.00022683864881757693
2025-07-15,-0.00018049154102007197,2.4711041781164653e-05,-0.0002052025828012366
2025-07-16,-0.0010080992192688914,0.000651331436668262,-0.0016594306559371535
2025-07-17,-1.582440922375058e-05,0.0006898669393491893,-0.0007056913485729399
2025-07-18,0.0019902418512617033,0.0005323467899368632,0.00145789506132484
2025-07-21,-1.845263575362473e-05,0.0004936665638586987,-0.0005121191996123234
2025-07-22,-0.0012790541079846988,0.00016854099660153373,-0.0014475951045862326
2025-07-23,-0.0010175397266779186,1.155357813572451e-05,-0.001029093304813643
2025-07-24,-0.00121979861731985,0.0005432395741495016,-0.0017630381914693516
2025-07-25,-0.00046539450005204626,0.0004904265473492831,-0.0009558210474013293
2025-07-28,-0.0007255719670227191,0.00015990123429604288,-0.000885473201318762
2025-07-29,0.0006461336284269592,0.000653224270050246,-7.090641623286797e-06
2025-07-30,0.00022874201326063466,2.8247561061798498e-05,0.00020049445219883616
2025-07-31,-9.255425481017172e-05,9.59796269236171e-07,-9.35140510794079e-05
2025-08-01,-0.00023889071771713178,0.0006236979260499153,-0.0008625886437670471
2025-08-04,-0.0019038483254652985,1.3009091506735776e-05,-0.0019168574169720343
2025-08-05,-0.00204867731588236,0.000648176526573395,-0.002696853842455755
2025-08-06,-0.0006821289086331071,4.6330806597149e-05,-0.0007284597152302561
2025-08-07,0.000871730327492215,0.0005732775750889759,0.00029845275240323915
2025-08-08,-0.0010576083701066576,0.0006020318835189371,-0.0016596402536255947
2025-08-11,0.0020766790302743175,2.9610372146411404e-05,0.002047068658127906
2025-08-12,0.000925915607745363,7.029461706930713e-06,0.0009188861460384323
2025-08-13,-0.0028112159587559893,6.86077641669158e-05,-0.0028798237229229052
2025-08-14,0.000340136029555642,0.0006282090009345275,-0.00028807297137888553
2025-08-15,0.00047547545623474686,0.000665149798919046,-0.00018967434268429915
2025-08-18,9.308150196896256e-05,0.0006509805768882914,-0.0005578990749193288
2025-08-19,0.0015043541160535154,0.0006625446629491639,0.0008418094531043515
2025-08-20,-0.0015367622564700693,0.0006713947752843813,-0.0022081570317544503
2025-08-21,-0.0006776100013569035,3.102462548446244e-05,-0.0007086346268413659
2025-08-22,0.005249007649205838,0.00010300379371972452,0.005146003855486114
2025-08-25,0.00034224777976748957,0.0005914362985919977,-0.0002491885188245081
2025-08-26,-0.00031101585396241466,5.2232230781777624e-05,-0.0003632480847441923
2025-08-27,0.0017687911696736332,0.0005779446279220703,0.001190846541751563
2025-08-28,-0.000491669911799642,0.0005932861532853925,-0.0010849560650850344
2025-08-29,0.0009047800670714621,5.6669441671970714e-05,0.0008481106253994914
2025-09-01,0.0007794454360323604,0.0006413314802752566,0.00013811395575710381
2025-09-02,-0.0006379282622557504,3.278328074884337e-05,-0.0006707115430045937
2025-09-03,0.0003837866211302447,0.000609677461002041,-0.00022589083987179632
2025-09-04,0.0006588245471815977,0.0005452448666725426,0.00011357968050905508
2025-09-05,-0.0001875897408967719,5.2471773598843214e-05,-0.00024006151449561513
2025-09-08,0.002103754219798186,0.0006196508660901408,0.0014841033537080451
2025-09-09,0.002035843999202207,0.0006746829203315138,0.001361161078870693
2025-09-10,0.0018027106617384979,6.492694651032733e-05,0.0017377837152281706
2025-09-11,0.00081943140649515,2.3307016606384103e-05,0.0007961243898887659
2025-09-12,0.0018768572995288418,1.0754292709934416e-05,0.0018661030068189075
2025-09-15,0.0015233801896595554,0.0006041046030434884,0.000919275586616067
2025-09-16,-0.0023335418208507244,0.0006463637165914882,-0.002979905537442213
2025-09-17,0.0008167762918812531,0.0006518998010999362,0.00016487649078131684
2025-09-18,-0.00042939842660366656,5.020393289341498e-05,-0.00047960235949708155
2025-09-19,-0.0007781462861319911,0.0006203644377310153,-0.0013985107238630064
2025-09-22,3.905614759187686e-05,3.925304262977963e-06,3.513084332889889e-05
2025-09-23,-0.0017078143637873108,5.325287928978446e-06,-0.0017131396517162892
2025-09-24,4.905314745041182e-05,0.0006492543229453217,-0.0006002011754949099
2025-09-25,0.0016857672507223135,0.0006436788563659714,0.0010420883943563421
2025-09-26,-0.00021586270202160268,0.0006228826158676742,-0.0008387453178892769
2025-09-29,-0.0006066285393199653,0.0006582472248422654,-0.0012648757641622308
2025-09-30,0.0011273060239476288,0.0006974793541056743,0.0004298266698419545
2025-10-01,0.0014960734151014546,0.0006075287505298209,0.0008885446645716337
2025-10-02,-0.0012366471197335234,0.0006220368260619326,-0.0018586839457954561
2025-10-03,-0.0008889292569268798,0.0006789331235755932,-0.001567862380502473
2025-10-06,0.002174824658807075,2.422295886267069e-05,0.0021506016999444043
2025-10-07,-0.00017379708798241286,0.0006279672355219608,-0.0008017643235043736
2025-10-08,-3.3568018330866326e-05,4.182107828812401e-05,-7.538909661899033e-05
2025-10-09,-0.00010649990958620022,0.000605938413538843,-0.0007124383231250432
2025-10-10,0.0006473810176626815,8.474519394658788e-06,0.0006389064982680227
2025-10-13,0.0017532786777996819,0.0006385900907771417,0.0011146885870225401
2025-10-14,-0.0006871008060678744,0.000640945479363208,-0.0013280462854310822
2025-10-15,-2.6468821498789002e-05,6.544139005929189e-06,-3.301296050471819e-05
2025-10-16,0.0007775722426422285,2.4183016021021796e-06,0.0007751539410401264
2025-10-17,0.0015330600613719485,3.707755550561144e-05,0.001495982505866337
2025-10-20,-0.0010110776357292043,0.0006050270891726044,-0.0016161047249018087
2025-10-21,-0.0007128760025435854,0.0006474231018625523,-0.0013602991044061377
2025-10-22,0.0026185702707578152,4.7838723898799545e-05,0.0025707315468590157
2025-10-23,0.000555089665350584,1.783039623297528e-05,0.0005372592691176087
2025-10-24,0.0003641625964253236,2.3024283183398702e-05,0.00034113831324192486
2025-10-27,-0.0006266220182465356,0.0006464471556267956,-0.0012730691738733313
2025-10-28,-0.0002790472764438686,0.0006491284334099101,-0.0009281757098537787
2025-10-29,-0.0018810280868389439,2.3265499176891406e-05,-0.0019042935860158353
2025-10-30,0.0009489787928420269,2.7808682088356335e-05,0.0009211701107536706
2025-10-31,-0.0012641850331129296,0.0006276378623300611,-0.0018918228954429906
2025-11-03,0.0018546571070157591,0.0005874829129811216,0.0012671741940346376
2025-11-04,0.0006701957602671136,0.0006097751784040915,6.0420581863022114e-05
2025-11-05,-0.0007036745967716512,4.63321691485665e-05,-0.0007500067659202178
2025-11-06,0.0005159168557533381,5.735403889452171e-05,0.0004585628168588164
2025-11-07,0.0010556356116537562,2.327104771555833e-06,0.0010533085068822003
2025-11-10,0.0016675590178078232,3.3363090665985704e-05,0.0016341959271418374
2025-11-11,-0.002039518609896764,0.0006688341870201977,-0.0027083527969169615
2025-11-12,-0.0008629940991171241,2.4624105997466033e-05,-0.0008876182051145901
2025-11-13,-0.00047417853888275316,0.0006559574943598586,-0.0011301360332426117
2025-11-14,0.00047883547688964707,0.0006666009981972799,-0.0001877655213076328
2025-11-17,0.0032835168751267673,0.0005850154084835081,0.002698501466643259
2025-11-18,0.0009932153902723916,5.0859311642266e-05,0.0009423560786301256
2025-11-19,0.001830708624895055,5.793284139678492e-05,0.0017727757834982703
2025-11-20,0.0017357582722154889,0.000691384891180974,0.0010443733810345148
2025-11-21,-0.0013753348392883994,0.000697470857716823,-0.0020728056970052222
2025-11-24,0.0007795900847251287,3.389292036074386e-05,0.0007456971643643849
