asset,neighbor,edge_weight,neighbor_change,contribution,abs_contribution,date
EURUSD,LQD,-0.46414342468216174,-0.007693502745388159,0.0035708887120460735,0.0035708887120460735,2024-12-31
EURUSD,US2Y_YIELD,-0.5088646231978218,-0.006069986374109412,0.0030888013290770984,0.0030888013290770984,2024-12-31
EURUSD,SPY,-0.32241428997163973,-0.006499542292003113,0.0020955453132168278,0.0020955453132168278,2024-12-31
EURUSD,US10Y_YIELD,0.46707288863673013,0.003342659393973199,0.001561265578871764,0.001561265578871764,2024-12-31
EURUSD,HYG,-0.3679292597304295,-0.0037222832774821413,0.0013695369307909612,0.0013695369307909612,2024-12-31
GOLD,LQD,-0.46197344398276285,-0.007693502745388159,0.003554193959577809,0.003554193959577809,2024-12-31
GOLD,US2Y_YIELD,-0.3662689777761997,-0.006069986374109412,0.0022232477043605155,0.0022232477043605155,2024-12-31
GOLD,EURUSD,0.25837503084445657,0.007526779150296287,0.0019447317951172157,0.0019447317951172157,2024-12-31
GOLD,SPY,-0.19393048890571052,-0.006499542292003113,0.001260459414351506,0.001260459414351506,2024-12-31
GOLD,US10Y_YIELD,0.3240040251368253,0.003342659393973199,0.0010830350983087377,0.0010830350983087377,2024-12-31
HYG,SPY,0.477933553537034,-0.006499542292003113,-0.0031063493439812866,0.0031063493439812866,2024-12-31
HYG,EURUSD,-0.36792925973042945,0.007526779150296287,-0.0027693222809229436,0.0027693222809229436,2024-12-31
HYG,US2Y_YIELD,0.430144495792424,-0.006069986374109412,-0.002610971228358177,0.002610971228358177,2024-12-31
HYG,LQD,0.2566703658658163,-0.007693502745388159,-0.001974694164448441,0.001974694164448441,2024-12-31
HYG,US10Y_YIELD,-0.5242183596623328,0.003342659393973199,-0.0017522834244185178,0.0017522834244185178,2024-12-31
LQD,EURUSD,-0.4641434246821618,0.007526779150296287,-0.0034935050516448104,0.0034935050516448104,2024-12-31
LQD,US2Y_YIELD,0.5441666449011904,-0.006069986374109412,-0.0033030841197950606,0.0033030841197950606,2024-12-31
LQD,US10Y_YIELD,-0.5839067714013404,0.003342659393973199,-0.0019518014546292517,0.0019518014546292517,2024-12-31
LQD,HYG,0.25667036586581615,-0.0037222832774821413,-0.0009553998106875505,0.0009553998106875505,2024-12-31
LQD,SPY,0.1340031423675117,-0.006499542292003113,-0.0008709590910789565,0.0008709590910789565,2024-12-31
QQQ,SPY,0.6237740559897633,-0.006499542292003113,-0.004054245857559784,0.004054245857559784,2024-12-31
QQQ,EURUSD,-0.4763109570326138,0.007526779150296287,-0.003585087380450748,0.003585087380450748,2024-12-31
QQQ,LQD,0.3362268395849981,-0.007693502745388159,-0.002586762113420367,0.002586762113420367,2024-12-31
QQQ,US2Y_YIELD,0.4186902932497678,-0.006069986374109412,-0.0025414443749979644,0.0025414443749979644,2024-12-31
QQQ,HYG,0.491989546015461,-0.0037222832774821413,-0.001831324459829381,0.001831324459829381,2024-12-31
SPY,EURUSD,-0.32241428997163973,0.007526779150296287,-0.002426741155516119,0.002426741155516119,2024-12-31
SPY,HYG,0.477933553537034,-0.0037222832774821413,-0.0017790040740785172,0.0017790040740785172,2024-12-31
SPY,US2Y_YIELD,0.2628638392118901,-0.006069986374109412,-0.0015955799222622602,0.0015955799222622602,2024-12-31
SPY,QQQ,0.6237740559897634,-0.001963462671101368,-0.0012247570741373952,0.0012247570741373952,2024-12-31
SPY,US10Y_YIELD,-0.35908444046661614,0.003342659393973199,-0.0012002969781553445,0.0012002969781553445,2024-12-31
US10Y_YIELD,LQD,-0.5839067714013404,-0.007693502745388159,0.004492288348826949,0.004492288348826949,2024-12-31
US10Y_YIELD,US2Y_YIELD,-0.6662339176903164,-0.006069986374109412,0.004044030802349752,0.004044030802349752,2024-12-31
US10Y_YIELD,EURUSD,0.4670728886367301,0.007526779150296287,0.0035155544798595993,0.0035155544798595993,2024-12-31
US10Y_YIELD,SPY,-0.3590844404666164,-0.006499542292003113,0.0023338845072130476,0.0023338845072130476,2024-12-31
US10Y_YIELD,HYG,-0.5242183596623327,-0.0037222832774821413,0.0019512892339202195,0.0019512892339202195,2024-12-31
US2Y_YIELD,LQD,0.5441666449011903,-0.007693502745388159,-0.00418654757649597,0.00418654757649597,2024-12-31
US2Y_YIELD,EURUSD,-0.5088646231978217,0.007526779150296287,-0.0038301116362087404,0.0038301116362087404,2024-12-31
US2Y_YIELD,US10Y_YIELD,-0.6662339176903164,0.003342659393973199,-0.002226993063551103,0.002226993063551103,2024-12-31
US2Y_YIELD,SPY,0.2628638392118899,-0.006499542292003113,-0.0017084946399959847,0.0017084946399959847,2024-12-31
US2Y_YIELD,HYG,0.43014449579242414,-0.0037222832774821413,-0.0016011196635891277,0.0016011196635891277,2024-12-31
US30Y_YIELD,LQD,0.4141387681634965,-0.007693502745388159,-0.0031861777498375303,0.0031861777498375303,2024-12-31
US30Y_YIELD,US2Y_YIELD,0.4857082222544868,-0.006069986374109412,-0.0029482422908776408,0.0029482422908776408,2024-12-31
US30Y_YIELD,EURUSD,-0.27145523143763894,0.007526779150296287,-0.002043183576223674,0.002043183576223674,2024-12-31
US30Y_YIELD,US10Y_YIELD,-0.5318244521327815,0.003342659393973199,-0.001777708000866292,0.001777708000866292,2024-12-31
US30Y_YIELD,HYG,0.33532521428527456,-0.0037222832774821413,-0.0012481754376521932,0.0012481754376521932,2024-12-31
USDJPY,EURUSD,-0.14383376790821292,0.007526779150296287,-0.0010826050054000922,0.0010826050054000922,2024-12-31
USDJPY,SPY,-0.07152604412016215,-0.006499542292003113,0.00046488654873867453,0.00046488654873867453,2024-12-31
USDJPY,LQD,-0.05630999034877063,-0.007693502745388159,0.00043322106534104753,0.00043322106534104753,2024-12-31
USDJPY,US2Y_YIELD,-0.062094627459505974,-0.006069986374109412,0.0003769135425846014,0.0003769135425846014,2024-12-31
USDJPY,HYG,-0.07854812068884019,-0.0037222832774821413,0.00029237835611771885,0.00029237835611771885,2024-12-31
